name,marketHashName,BUFF,C5,HALOSKINS,YOUPIN
AWP | 响尾蛇 (略有磨损),AWP | Pit Viper (Minimal Wear),34123,22313,22313,2923
法玛斯 | 殖民侵略者 (破损不堪),FAMAS | Colony (Well-Worn),34628,22314,22314,9533
FN57 | 耍猴把戏 (久经沙场),Five-SeveN | Monkey Business (Field-Tested),34756,22315,22315,1313
新星 | 惊惧骷髅 (略有磨损),Nova | Rising Skull (Minimal Wear),35862,22316,22316,49667
沙漠之鹰（StatTrak™） | 纳迦蛇神 (破损不堪),StatTrak™ Desert Eagle | Naga (Well-Worn),38440,22317,22317,48475
AWP | 响尾蛇 (久经沙场),AWP | Pit Viper (Field-Tested),34122,22318,22318,2924
MP7 | 装甲核心 (久经沙场),MP7 | Armor Core (Field-Tested),35555,22319,22319,1182
AUG | 变色龙 (久经沙场),AUG | Chameleon (Field-Tested),34002,22320,22320,660
AUG | 力矩 (崭新出厂),AUG | Torque (Factory New),34054,22321,22321,1214
AUG | 鹰翼 (崭新出厂),AUG | Wings (Factory New),34063,22322,22322,43331
P250 | 富兰克林 (略有磨损),P250 | Franklin (Minimal Wear),36019,22323,22323,2669
M4A4 | 沙漠精英 (久经沙场),M4A4 | Desert-Strike (Field-Tested),35277,22324,22324,384
AK-47 | 翡翠细条纹 (久经沙场),AK-47 | Emerald Pinstripe (Field-Tested),33891,22325,22325,437
M4A4 | 杀意大名 (久经沙场),M4A4 | Evil Daimyo (Field-Tested),33811,22326,22326,1458
SSG 08 | 渐变强酸 (崭新出厂),SSG 08 | Acid Fade (Factory New),36526,22327,22327,4579
PP-野牛 | 死亡主宰者 (崭新出厂),PP-Bizon | Osiris (Factory New),36291,22328,22328,11217
AWP | 蠕虫之神 (略有磨损),AWP | Worm God (Minimal Wear),34145,22329,22329,2225
P90 | 沙漠战争 (破损不堪),P90 | Desert Warfare (Well-Worn),36141,22330,22330,61978
USP 消音版 | 守护者 (久经沙场),USP-S | Guardian (Field-Tested),42178,22331,22331,43647
FN57（StatTrak™） | 夜影 (久经沙场),StatTrak™ Five-SeveN | Nightshade (Field-Tested),38578,22332,22332,43723
AWP | 蠕虫之神 (久经沙场),AWP | Worm God (Field-Tested),34144,22333,22333,3793
USP 消音版 | 守护者 (崭新出厂),USP-S | Guardian (Factory New),42177,22334,22334,190
格洛克 18 型（StatTrak™） | 亡者之寝 (久经沙场),StatTrak™ Glock-18 | Catacombs (Field-Tested),38710,22335,22335,9531
“凤凰大行动”武器箱,Operation Phoenix Weapon Case,35890,22336,22336,1176
P250 | 卡特尔 (久经沙场),P250 | Cartel (Field-Tested),35999,22337,22337,44347
Tec-9（StatTrak™） | 艾萨克 (破损不堪),StatTrak™ Tec-9 | Isaac (Well-Worn),39653,22338,22338,45567
格洛克 18 型（StatTrak™） | 本生灯 (久经沙场),StatTrak™ Glock-18 | Bunsen Burner (Field-Tested),38705,22339,22339,848
SSG 08（StatTrak™） | 黑水 (久经沙场),StatTrak™ SSG 08 | Dark Water (Field-Tested),39548,22340,22340,44235
CZ75 | 猛虎 (崭新出厂),CZ75-Auto | Tigris (Factory New),34336,22341,22341,44322
印花 | Flipsid3 Tactics（闪亮）| 2015年科隆锦标赛,Sticker | Flipsid3 Tactics (Foil) | Cologne 2015,40142,22342,22342,48518
内格夫（StatTrak™） | 青绿地形 (略有磨损),StatTrak™ Negev | Terrain (Minimal Wear),39144,22343,22343,11212
M4A4 | 狮鹫 (略有磨损),M4A4 | Griffin (Minimal Wear),35297,22344,22344,5288
M4A4 | 杀意大名 (略有磨损),M4A4 | Evil Daimyo (Minimal Wear),35287,22345,22345,279
PP-野牛（StatTrak™） | 水纹之印 (破损不堪),StatTrak™ PP-Bizon | Water Sigil (Well-Worn),39423,22346,22346,58912
P250（StatTrak™） | 超新星 (久经沙场),StatTrak™ P250 | Supernova (Field-Tested),39288,22347,22347,46376
Tec-9（StatTrak™） | 艾萨克 (久经沙场),StatTrak™ Tec-9 | Isaac (Field-Tested),39651,22348,22348,42967
加利尔 AR（StatTrak™） | 冷石 (战痕累累),StatTrak™ Galil AR | Stone Cold (Battle-Scarred),38689,22349,22349,51116
法玛斯（StatTrak™） | 神经网 (略有磨损),StatTrak™ FAMAS | Neural Net (Minimal Wear),38523,22350,22350,3329
CZ75 | 黄夹克 (略有磨损),CZ75-Auto | Yellow Jacket (Minimal Wear),34366,22351,22351,47390
M4A1 消音型 | 澄澈之水 (久经沙场),M4A1-S | Bright Water (Field-Tested),35182,22352,22352,3878
AWP | 狩猎网格 (战痕累累),AWP | Safari Mesh (Battle-Scarred),34128,22353,22353,426
FN57 | 狩猎利器 (崭新出厂),Five-SeveN | Fowl Play (Factory New),34733,22354,22354,2589
M4A4 | 杀意大名 (战痕累累),M4A4 | Evil Daimyo (Battle-Scarred),35285,22355,22355,51809
M4A4 | 狮鹫 (久经沙场),M4A4 | Griffin (Field-Tested),35296,22356,22356,42899
FN57 | 耍猴把戏 (破损不堪),Five-SeveN | Monkey Business (Well-Worn),34758,22357,22357,46110
AK-47 | 蓝色层压板 (略有磨损),AK-47 | Blue Laminate (Minimal Wear),33874,22358,22358,984
P2000 | 珊瑚树 (略有磨损),P2000 | Corticera (Minimal Wear),35912,22359,22359,49206
沙漠之鹰 | 阴谋者 (久经沙场),Desert Eagle | Conspiracy (Field-Tested),34400,22360,22360,5361
FN57 | 氮化处理 (久经沙场),Five-SeveN | Nitro (Field-Tested),34771,22361,22361,55737
FN57 | 表面淬火 (久经沙场),Five-SeveN | Case Hardened (Field-Tested),34716,22362,22362,2745
UMP-45 | 车王 (久经沙场),UMP-45 | Grand Prix (Field-Tested),42100,22363,22363,4300
SG 553 | 军队之辉 (略有磨损),SG 553 | Army Sheen (Minimal Wear),36446,22364,22364,1400
Tec-9 | 沙尘暴 (久经沙场),Tec-9 | Sandstorm (Field-Tested),42034,22365,22365,981
CZ75（StatTrak™） | 先驱 (久经沙场),StatTrak™ CZ75-Auto | Pole Position (Field-Tested),38347,22366,22366,2268
SG 553 | 军队之辉 (久经沙场),SG 553 | Army Sheen (Field-Tested),36445,22367,22367,35227
沙漠之鹰（StatTrak™） | 纳迦蛇神 (久经沙场),StatTrak™ Desert Eagle | Naga (Field-Tested),38438,22368,22368,11208
P2000 | 银质 (崭新出厂),P2000 | Silver (Factory New),35973,22369,22369,2621
格洛克 18 型（StatTrak™） | 亡者之寝 (崭新出厂),StatTrak™ Glock-18 | Catacombs (Factory New),38709,22370,22370,1036
MAG-7（StatTrak™） | 炽热 (略有磨损),StatTrak™ MAG-7 | Heat (Minimal Wear),38988,22371,22371,46388
